entity_id,state,last_changed
sensor.netznutzung_kwh,5989.86,2024-01-15T02:00:00.000Z
sensor.netznutzung_kwh,5991.39,2024-01-15T03:00:00.000Z
sensor.netznutzung_kwh,5993.52,2024-01-15T04:00:00.000Z
sensor.netznutzung_kwh,5995.47,2024-01-15T05:00:00.000Z
sensor.netznutzung_kwh,5997.12,2024-01-15T06:00:00.000Z
sensor.netznutzung_kwh,5999.33,2024-01-15T07:00:00.000Z
sensor.netznutzung_kwh,6001.44,2024-01-15T08:00:00.000Z
sensor.netznutzung_kwh,6003.37,2024-01-15T09:00:00.000Z
sensor.netznutzung_kwh,6005.19,2024-01-15T10:00:00.000Z
sensor.netznutzung_kwh,6006.94,2024-01-15T11:00:00.000Z
sensor.netznutzung_kwh,6008.34,2024-01-15T12:00:00.000Z
sensor.netznutzung_kwh,6011.16,2024-01-15T13:00:00.000Z
sensor.netznutzung_kwh,6012.79,2024-01-15T14:00:00.000Z
sensor.netznutzung_kwh,6014.76,2024-01-15T15:00:00.000Z
sensor.netznutzung_kwh,6017.2,2024-01-15T16:00:00.000Z
sensor.netznutzung_kwh,6019.29,2024-01-15T17:00:00.000Z
sensor.netznutzung_kwh,6023.07,2024-01-15T18:00:00.000Z
sensor.netznutzung_kwh,6025.52,2024-01-15T19:00:00.000Z
sensor.netznutzung_kwh,6030.97,2024-01-15T20:00:00.000Z
sensor.netznutzung_kwh,6033.47,2024-01-15T21:00:00.000Z
sensor.netznutzung_kwh,6035.23,2024-01-15T22:00:00.000Z
sensor.netznutzung_kwh,6037.31,2024-01-15T23:00:00.000Z
sensor.netznutzung_kwh,6039.02,2024-01-16T00:00:00.000Z
sensor.netznutzung_kwh,6040.92,2024-01-16T01:00:00.000Z
sensor.netznutzung_kwh,6042.81,2024-01-16T02:00:00.000Z
sensor.netznutzung_kwh,6044.75,2024-01-16T03:00:00.000Z
sensor.netznutzung_kwh,6046.64,2024-01-16T04:00:00.000Z
sensor.netznutzung_kwh,6049.67,2024-01-16T05:00:00.000Z
sensor.netznutzung_kwh,6051.88,2024-01-16T06:00:00.000Z
sensor.netznutzung_kwh,6053.58,2024-01-16T07:00:00.000Z
sensor.netznutzung_kwh,6055.46,2024-01-16T08:00:00.000Z
sensor.netznutzung_kwh,6056.94,2024-01-16T09:00:00.000Z
sensor.netznutzung_kwh,6058.04,2024-01-16T10:00:00.000Z
sensor.netznutzung_kwh,6058.82,2024-01-16T11:00:00.000Z
sensor.netznutzung_kwh,6059.48,2024-01-16T12:00:00.000Z
sensor.netznutzung_kwh,6060.54,2024-01-16T13:00:00.000Z
sensor.netznutzung_kwh,6062.28,2024-01-16T14:00:00.000Z
sensor.netznutzung_kwh,6064.6,2024-01-16T15:00:00.000Z
sensor.netznutzung_kwh,6067.22,2024-01-16T16:00:00.000Z
sensor.netznutzung_kwh,6070.21,2024-01-16T17:00:00.000Z
sensor.netznutzung_kwh,6073.03,2024-01-16T18:00:00.000Z
sensor.netznutzung_kwh,6076.64,2024-01-16T19:00:00.000Z
sensor.netznutzung_kwh,6079.73,2024-01-16T20:00:00.000Z
sensor.netznutzung_kwh,6088.59,2024-01-16T21:00:00.000Z
sensor.netznutzung_kwh,6097.64,2024-01-16T22:00:00.000Z
sensor.netznutzung_kwh,6101.57,2024-01-16T23:00:00.000Z
sensor.netznutzung_kwh,6104.91,2024-01-17T00:00:00.000Z
sensor.netznutzung_kwh,6108.59,2024-01-17T01:00:00.000Z
